Area Name,Number of Problems,Type of Rock,Aspect,County,OS Map Coordinates,Latitude,Longitude
Windy Gap,40,Gabbro,Hillside,Louth,,,
White Bog,19,Gabbro,Hillside,Louth,J 160 129,54.0531641213,-6.22797497607
Portrane,66,Limestone,Coastal - tidal,Dublin,O 261 504,53.4895819852,-6.09937274729
Ayton's Cave,15,Limestone,Coastal - tidal,Dublin,O 275 364,53.3635264884,-6.08395556942
Bullock Harbour,40,Granite,Coastal - tidal,Dublin,O 263 277,53.2856870648,-6.10543537038
Dalkey Quarry,11,Granite,Sheltered quarry,Dublin,,,
Three Rock,15,Granite,Mountain top,Dublin,O 176 231,53.2463752642,-6.23751605131
The Scalp,31,Granite,Wooded ,Dublin,O 215 201,53.2185554382,-6.18026679398
Knocknagun,5,Granite,Hillside,Wicklow,O 164 183,53.2035304892,-6.25723481832
Lough Bray,14,Granite,Hillside,Wicklow,O 138 155,53.1789453967,-6.29712301467
Stonecutter's Glen,23,Granite,Hillside,Wicklow,,,
Cloghoge,27,Granite,Hillside,Wicklow,O 155 091,53.1210992889,-6.27401541168
Lough Dan,34,Granite,Hillside,Wicklow,O 141 045,53.0800858977,-6.29654993218
Lough Tay,few,Granite,Hillside,Wicklow,,,
Gullyblock,5,Granite,Forest,Wicklow,O 101 071,53.1042775778,-6.35532302953
Carrigshouk,29,Granite,Hillside,Wicklow,O 101 052,53.0872123067,-6.35597372525
Glenmacnass,73,Granite,Hillside,Wicklow,O 104 035,53.0718814516,-6.35208144304
Mall Hill,48,Granite,Forest,Wicklow,T 132 995,53.035369449,-6.31173050812
Glendasan,52,Granite,Hillside,Wicklow,O 091 998,53.9370282599,-6.33797497517
Lough Nahanagan,30,Granite,Hillside/Forest,Wicklow,,,
Annalecka,19,Granite,Forest,Wicklow,,,
King's River,15,Granite,Hillside,Wicklow,T 049 998,53.0397553607,-6.43531046332
Glendalough,155,Granite,Hillside,Wicklow,,,
Glenmalure,22,Granite,Hillside,Wicklow,T 082 928,52.9762242844,-6.38847658063
Tramore,9,Limestone,Coastal - tidal,Waterford,,,
Larry the Goats,18,Limestone,Coastal,Waterford,,,
Rocky Bay,9,Choss,Coastal,Cork,,,
The Loaf,13,Sandstone,Low lying,Cork,W 226 547,51.7407703955,-9.11976461465
The Gap of Dunloe,56,Sandstone,Hillside,Kerry,,,
Black Valley,28,Sandstone,Hillside,Kerry,,,
Doolin,67,Limestone,Coastal,Clare,,,
Le Toit le Cul de Clare,9,Sandstone,Low lying,Clare,R 522 887,52.948181874,-8.71033685176
Inishmore,28,Limestone,Coastal,Galway,,,
Barna Quarry,23,Quarried granite,Low lying,Galway,M 203 264,53.2830748244,-9.19416607383
Derryrush,22,Granite,Low lying bog,Galway,L 898 391,53.3916832186,-9.65568604222
Roundstone,12,Granite,Coastal,Galway,,,
Jim's Nook,5,Mudstone,Beach,Galway,L 742 643,53.6144954762,-9.90014152785
Prehistoric Boulder,4,Sandstone,Low lying,Galway,L 821 609,53.5857976782,-9.77954849258
Leenane Boulders,6,Sandstone,Hillside,Galway,L 864 623,53.5993185097,-9.71515899308
Bundorragh Boulder,4,Sandstone,Hillside,Mayo,L 837 633,53.6077075696,-9.75629459675
Delphi Valley,14,Cobbled sanstone,Hillside,Mayo,L 834 654,53.6264997942,-9.76160995776
Foxford Flake,6,Schist,Low lying,Mayo,,,
Rooskey,5,Granite,Hillside,Mayo,,,
Lough Easky,12,Granite,Hillside,Sligo,,,
Aughris Head,25ish,Limestone,Beach - tidal,Sligo,,,
Thur Mountain,20,Gritstone,Hillside,Leitrim,,,
Muckros Head,few,Sandstone,Coastal - tidal,Donegal,,,
Barnesmore Gap,7,Granite,Hillside,Donegal,H 031 857,54.7202037304,-7.95110002725
Malin Beg,10,Schist,Coastal - tidal,Donegal,,,
Polldoo Glen,27,Granite,Hillside,Donegal,G 993 932,54.7875851012,-8.01008628361
Doochary,16,Granite,Low lying,Donegal,,,
Burtonport/Cruit,12,Granite,Coastal - tidal,Donegal,B 715 171,55.0014601227,-8.4445608575
Mullaghdoo,24,Granite,Coastal - tidal,Donegal,,,
Carrickfinn,32,Granite,Coastal - tidal,Donegal,B 780 234,55.0583777277,-8.34347422607
Crolly,29,Granite,Low lying,Donegal,B 837 209,55.0361407032,-8.25413516842
Fanad Head,24,Granite,Coastal - tidal,Donegal,,,
Dunaff Bay,32,Granite,Coastal - tidal,Donegal,C 312 463,55.2635682649,-7.50844406097
Doagh Strand,29,Quartzite,Coastal - tidal,Donegal,,,
Rubonid Point,31,Dolerite,Coastal,Donegal,C 577 491,55.2863258425,-7.09108801478
Cuilcagh,loads,Gritstone,Hillside,Fermanagh,,,
Brimstones,21,Gritstone,Hillside,Fermanagh,,,
Slieve Binnian,47,Granite,Hillside,Down,,,
Chimney Rock,10,Granite,Hillside,Down,J 367 262,54.1675003816,-5.90610502081
Pierce's Castle,14,Granite,Hillside,Down,,,
The Rockpool,dozen,Shale,Coastal,Down,,,
Greyabbey Boulder,15,Dolerite,Coastal,Down,,,
Fair Head,60,Dolerite,Coastal,Antrim,,,
